id,ip_asset_id,name,description,order_index,completed,completed_at,created_at,updated_at
35f0b1d5-e0c0-46c9-af95-47b4a599038a,57171b40-11d9-44fd-8f55-110b24cd1d9a,创意设计,完成原创设计作品,1,false,,"""2026-02-26T13:26:48.280Z""","""2026-02-26T13:26:48.280Z"""
3fa0612c-b0b4-40eb-8ca0-2f865c9aee6e,dbbfbef4-a918-4756-9a89-d46847fa4bbd,创意设计,完成原创设计作品,1,true,"""2026-01-15T10:00:00.000Z""","""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
d7faa638-ab13-424e-9dc1-c93d75874b79,dbbfbef4-a918-4756-9a89-d46847fa4bbd,版权存证,完成作品版权存证,2,true,"""2026-01-20T14:30:00.000Z""","""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
e4915ac0-7468-4c54-9f96-e7df87f498f1,dbbfbef4-a918-4756-9a89-d46847fa4bbd,IP孵化,将设计转化为IP资产,3,false,,"""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
e57aa5ce-f8b9-49c2-8f7f-5998abb813e3,dbbfbef4-a918-4756-9a89-d46847fa4bbd,商业合作,对接品牌合作机会,4,false,,"""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
39014e1a-60f8-431a-861b-fba44ce5d206,dbbfbef4-a918-4756-9a89-d46847fa4bbd,收益分成,获得作品收益分成,5,false,,"""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
1ef1a7da-d246-41b5-afe3-2dca25acb52b,5b855639-c0be-4751-a935-bd7b8d0c5521,创意设计,完成原创设计作品,1,true,"""2026-01-10T09:00:00.000Z""","""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
6f5128e7-fa3b-40e6-8233-4d2584c343a7,5b855639-c0be-4751-a935-bd7b8d0c5521,版权存证,完成作品版权存证,2,true,"""2026-01-12T16:00:00.000Z""","""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
519c637d-0cb2-4e93-99b8-aa18c68793d8,5b855639-c0be-4751-a935-bd7b8d0c5521,IP孵化,将设计转化为IP资产,3,true,"""2026-01-18T11:00:00.000Z""","""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
60f7c028-0ff5-45e8-8f33-d8f2f84a4473,5b855639-c0be-4751-a935-bd7b8d0c5521,商业合作,对接品牌合作机会,4,false,,"""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
55ef4690-130d-4363-b0ce-39e2ab78e76a,5b855639-c0be-4751-a935-bd7b8d0c5521,收益分成,获得作品收益分成,5,false,,"""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
a6203725-0591-4d79-9b5f-76437face776,57786755-ec01-4b92-9706-2d281bd1f8ef,创意设计,完成原创设计作品,1,true,"""2026-02-01T10:00:00.000Z""","""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
b8179dce-0c01-435f-8487-0773efc086fa,57786755-ec01-4b92-9706-2d281bd1f8ef,版权存证,完成作品版权存证,2,false,,"""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
bcf48dc0-742c-4227-85ce-97a7a14d7b31,57786755-ec01-4b92-9706-2d281bd1f8ef,IP孵化,将设计转化为IP资产,3,false,,"""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
8118da71-b8ff-4073-b1bb-ae6b3cf1dcb6,57786755-ec01-4b92-9706-2d281bd1f8ef,商业合作,对接品牌合作机会,4,false,,"""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
663d8367-d115-41a5-826e-3fabc5cd1a9a,57786755-ec01-4b92-9706-2d281bd1f8ef,收益分成,获得作品收益分成,5,false,,"""2026-02-26T11:19:29.970Z""","""2026-02-26T11:19:29.970Z"""
c558c1fa-4d45-4ea2-8c46-ba0a945cdb15,57171b40-11d9-44fd-8f55-110b24cd1d9a,版权存证,完成作品版权存证,2,false,,"""2026-02-26T13:26:48.280Z""","""2026-02-26T13:26:48.280Z"""
fef1ec7f-1411-41f7-9662-58cf3457c53d,57171b40-11d9-44fd-8f55-110b24cd1d9a,IP孵化,将设计转化为IP资产,3,false,,"""2026-02-26T13:26:48.280Z""","""2026-02-26T13:26:48.280Z"""
9f4bc209-77bd-4bd3-98fa-eddd79d22fc4,57171b40-11d9-44fd-8f55-110b24cd1d9a,商业合作,对接品牌合作机会,4,false,,"""2026-02-26T13:26:48.280Z""","""2026-02-26T13:26:48.280Z"""
5b87c1b6-7254-4701-8a02-c0df0f498227,57171b40-11d9-44fd-8f55-110b24cd1d9a,收益分成,获得作品收益分成,5,false,,"""2026-02-26T13:26:48.280Z""","""2026-02-26T13:26:48.280Z"""
81e12bd5-2e04-44c6-9d5e-c313b567f7df,dad791ba-76ce-4ca5-b11c-b0ab5510b154,创意设计,完成原创设计作品,1,false,,"""2026-02-26T14:23:02.663Z""","""2026-02-26T14:23:02.663Z"""
f0962287-a7a9-4c37-aa44-2281c1e25c0d,dad791ba-76ce-4ca5-b11c-b0ab5510b154,版权存证,完成作品版权存证,2,false,,"""2026-02-26T14:23:02.663Z""","""2026-02-26T14:23:02.663Z"""
82d8cecd-fb62-4058-a685-69d7ed1fe287,dad791ba-76ce-4ca5-b11c-b0ab5510b154,IP孵化,将设计转化为IP资产,3,false,,"""2026-02-26T14:23:02.663Z""","""2026-02-26T14:23:02.663Z"""
bff4d299-aacb-43e3-b039-b0d6499652e5,dad791ba-76ce-4ca5-b11c-b0ab5510b154,商业合作,对接品牌合作机会,4,false,,"""2026-02-26T14:23:02.663Z""","""2026-02-26T14:23:02.663Z"""
ed88d73f-c4ca-4996-b5c4-207c1b32b437,dad791ba-76ce-4ca5-b11c-b0ab5510b154,收益分成,获得作品收益分成,5,false,,"""2026-02-26T14:23:02.663Z""","""2026-02-26T14:23:02.663Z"""
