id,user_id,conversation_id,content,role,is_deleted,metadata,created_at,updated_at,channel_id,community_id,sender_id,receiver_id,status,type,retry_count,is_read,delivered_at,read_at
bb3a5365-263d-48dd-9577-cb702077af76,,,hi,user,false,,"""2026-02-08T08:12:22.738Z""","""2026-02-08T08:12:21.686Z""",global,,a6f38aa1-7281-49f2-b565-2aa93ee89905,1318394f-c481-48a1-b4ef-95d6854b0d1c,sent,text,0,false,,
b2977fa5-45bd-4382-9d44-13e2b762f323,,,666,user,false,,"""2026-02-08T08:15:21.073Z""","""2026-02-08T08:15:20.017Z""",global,,a6f38aa1-7281-49f2-b565-2aa93ee89905,1318394f-c481-48a1-b4ef-95d6854b0d1c,sent,text,0,false,,
b1a7ed95-10d1-43ee-aad2-d40a79cc1fee,,,111,user,false,,"""2026-02-08T08:19:27.275Z""","""2026-02-08T08:19:26.225Z""",global,,a6f38aa1-7281-49f2-b565-2aa93ee89905,1318394f-c481-48a1-b4ef-95d6854b0d1c,sent,text,0,false,,
f7bb2b10-da8b-4942-a551-6b512f48e733,,,11,user,false,,"""2026-02-08T13:14:04.047Z""","""2026-02-08T13:14:02.670Z""",global,,a6f38aa1-7281-49f2-b565-2aa93ee89905,1318394f-c481-48a1-b4ef-95d6854b0d1c,sent,text,0,false,,
fff0e96b-cd51-433e-b78d-32628b3bfa93,,,1,user,false,"{}","""2026-02-08T13:21:42.106Z""","""2026-02-08T13:21:42.106Z""",community:8532ee0b-69a5-44b1-a41f-622ea75cb525:chat,8532ee0b-69a5-44b1-a41f-622ea75cb525,a6f38aa1-7281-49f2-b565-2aa93ee89905,,sent,text,0,false,,
ac96fb58-fee6-4bde-95b8-0e7740497a47,,,1,user,false,"{}","""2026-02-08T13:22:12.536Z""","""2026-02-08T13:22:12.536Z""",community:8532ee0b-69a5-44b1-a41f-622ea75cb525:chat,8532ee0b-69a5-44b1-a41f-622ea75cb525,a6f38aa1-7281-49f2-b565-2aa93ee89905,,sent,text,0,false,,
4cdcc329-ad19-40ba-bef3-d6e9e0553a3c,,,。,user,false,,"""2026-02-08T08:13:50.491Z""","""2026-02-09T00:44:36.758Z""",global,,1318394f-c481-48a1-b4ef-95d6854b0d1c,a6f38aa1-7281-49f2-b565-2aa93ee89905,sent,text,0,true,,
d488aa97-e8d4-4b32-8698-ba78f2043f33,,,你好啊,user,false,,"""2026-02-08T07:22:21.605Z""","""2026-02-09T00:45:01.791Z""",global,,a6f38aa1-7281-49f2-b565-2aa93ee89905,088cd61c-b4c2-4603-8c2b-3411fa66edf2,sent,text,0,true,,
c7c6c1e6-bfb4-4968-8057-e548a61fb3f9,f3dedf79-5c5e-40fd-9513-d0fb0995d429,,1,user,false,"{}","""2026-02-10T03:34:09.748Z""","""2026-02-10T03:34:09.748Z""",community:4000e812-564d-4e7e-8247-dab93b75fac4:chat,4000e812-564d-4e7e-8247-dab93b75fac4,,,sent,text,0,false,,
e3d9097a-25b9-4a3d-a821-1a2b6c0f4a50,f3dedf79-5c5e-40fd-9513-d0fb0995d429,,kvo1 分享了一个作品,user,false,"{""shareCard"":{""id"":""4d025f42-dedc-4145-9299-7fdf9002b82b"",""url"":""http://localhost:3005/square/4d025f42-dedc-4145-9299-7fdf9002b82b"",""type"":""work"",""title"":""来尝尝天津伯伯亲手做的煎饼"",""author"":{""name"":""3114995730"",""avatar"":""""},""thumbnail"":""https://dashscope-result-wlcb-acdr-1.oss-cn-wulanchabu-acdr-1.aliyuncs.com/1d/ee/20260209/77c9ad12/777e3c82-f9e2-4d58-9a31-e82be9dadf661597158595.png?Expires=1770730360&OSSAccessKeyId=LTAI5tKPD3TMqf2Lna1fASuh&Signature=qM9N0PJDUi4LGvib74%2FCU3XS61E%3D"",""description"":""可爱的煎饼""}}","""2026-02-10T11:53:40.331Z""","""2026-02-10T11:53:40.331Z""",community:4000e812-564d-4e7e-8247-dab93b75fac4:feed,4000e812-564d-4e7e-8247-dab93b75fac4,,,sent,share_card,0,false,,
